Unnamed: 0,date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
2119,2019-11-19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2120,2019-11-20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2121,2019-11-21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2122,2019-11-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2123,2019-11-23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2124,2019-11-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2125,2019-11-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2126,2019-11-26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2127,2019-11-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2128,2019-11-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2129,2019-11-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2130,2019-11-30,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2131,2019-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2132,2019-12-02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2133,2019-12-03,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2134,2019-12-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2135,2019-12-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2136,2019-12-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2137,2019-12-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2138,2019-12-08,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2139,2019-12-09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2140,2019-12-10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2141,2019-12-11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2142,2019-12-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2143,2019-12-13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2144,2019-12-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2145,2019-12-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2146,2019-12-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2147,2019-12-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2148,2019-12-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2149,2019-12-19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
