uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
64ac1000-7b0e-46bf-b8b1-efcf3f202002,Aral Tankstelle,ARAL,Steeler Straße,281,45138,Essen,51.4472,7.04587,2014-03-18 16:45:31+01,{},2023-05-01
646ad98b-435a-49f6-b33b-12b0ff37b15f,Aral Tankstelle,ARAL,Bottroper Straße,298a,45356,Essen,51.4843674,6.975781,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""21:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""05:00"",""endp"":""20:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""09:00"",""endp"":""19:00""}]}]}",2023-05-01
642fae63-87e1-4d63-bb20-d040f5ae649d,Aral Tankstelle,ARAL,Rösrather Straße,521B/Lü,51107,Köln,50.9236069,7.079232,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
3de25454-a313-435e-88b0-742daaeb8927,Aral Tankstelle,ARAL,Rottbitzer Straße,32,53604,Bad Honnef,50.646698,7.314059,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""21:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""05:30"",""endp"":""21:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]}]}",2023-05-01
3de883f8-8f28-436a-921d-f07a6407df25,Aral Tankstelle,ARAL,Westring,83,42329,Wuppertal,51.2298775,7.074273,2014-03-18 16:45:31+01,{},2023-05-01
005056ba-7cb6-1ed2-bceb-78b72ae8cd26,star Tankstelle,STAR,Mülheimer Straße,71,47058,Duisburg,51.432796,6.784191,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""23:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""23:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""23:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-78e1f2f9ad26,star Tankstelle,STAR,Kaiser-Friedrich-Straße,164,47167,Duisburg,51.508621,6.777658,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",2023-05-01
639d57e7-a253-45e6-903d-c80278e8cf5b,Shell Wuppertal-Elberfeld Üllendahler Str. 94,Shell,Üllendahler Str.,94,42107,Wuppertal-Elberfeld,51.270109,7.148802,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""23:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""07:00"",""endp"":""23:00""}]}]}",2023-05-01
633b2d57-6be7-4ab2-b9de-47bd4fcbde64,Aral Tankstelle,ARAL,Brabanter Straße,85,41751,Viersen,51.2609177,6.334866,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-b4ea98198d48,star Tankstelle,STAR,Weyerstraße,196,42719,Solingen,51.175243,7.023379,2014-03-18 16:45:31+01,{},2023-05-01
