uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
f9118d14-9be8-4b56-959c-7f80fa4171f0,PM Barntrup Lemgoer Str. 45,PM,Lemgoer Str.,45,32683,Barntrup,51.99375,9.099333,2018-01-13 23:30:29+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""19:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""19:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""19:00""}]}]}",2023-05-01
6e4fb355-1d0c-4b4f-8859-d651f1cdd558,"MOERS, DR.-BERNS-STR.",PM,DR.-BERNS-STR. 68,,47441,MOERS,51.457681,6.609639,2018-01-13 23:30:29+01,{},2023-05-01
9ec1625b-f03e-44aa-967a-60314cbe1d47,PM Geldern Geldertor 6,PM,Geldertor,6,47608,Geldern,51.514191,6.32825,2018-01-13 23:30:29+01,{},2023-05-01
ddde67fb-a910-4646-bebb-acbc1848c640,Shell Schermbeck Weseler Str. 7,Shell,Weseler Str.,7,46514,Schermbeck,51.690431,6.866429,2018-01-13 23:30:29+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]},{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",2023-05-01
1a3afe4f-3a92-49ac-a453-7bcdf0c4f47b,OIL! Tankstelle Düsseldorf,OIL!,Angermunder Straße 130,,40489,Düsseldorf,51.3247,6.77333,2018-01-15 23:30:06+01,"{""openingTimes"":[{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]},{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]}]}",2023-05-01
ad9415e3-a43b-40f4-b641-a8457f66d6b6,Shell Korschenbroich Pescherstr. 32,Shell,Pescherstr.,32,41352,Korschenbroich,51.185059,6.526206,2018-01-16 23:30:07+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
f3425460-bc40-4632-a1e1-023d71e04a7e,Shell Hueckelhoven Krefelder Str. 44,Shell,Krefelder Str.,44,41836,Hueckelhoven,51.040095,6.282039,2018-01-16 23:30:07+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",2023-05-01
b3502f96-4792-42af-9d63-8cf3e2bb2013,Shell Dormagen Kruppstr. 1,Shell,Kruppstr.,1,41540,Dormagen,51.061219,6.820756,2018-01-16 23:30:07+01,{},2023-05-01
0eaec4bb-bc33-4e62-a111-a641a3ae4203,PM Dormagen In Ueckerath 115,PM,In Ueckerath,115,41542,Dormagen,51.109747,6.748876,2018-01-16 23:30:07+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""07:00"",""endp"":""19:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""08:00"",""endp"":""14:00""}]}]}",2023-05-01
b456ea44-07da-4d70-b5be-827cbd8d7443,"MOERS, NEUKIRCHENER STR.",PM,NEUKIRCHENER STR. 3,,47447,MOERS,51.418137,6.593684,2018-01-17 23:30:06+01,{},2023-05-01
